,SYMBOL,EXPIRE_DATE,STRIKE,C_BID,C_ASK,C_IV,C_OI,C_VOLUME,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,UNDERLYING_LAST,P_BID,P_ASK,P_IV,P_OI,P_VOLUME,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_LAST,QUOTE_DATE,C_MID,P_MID,DTE,T,r,q,b
4290,SPXW,2026-03-02,4800,2062.5,2084.2,1.5704,0.0,1.0,1.0,0.0,0.0014,-0.0078,0.1314,2052.42,6878.8799,0.0,0.05,1.1207,1781.0,0.0,-0.0001,0.0,0.0014,-0.0078,0.0,0.05,2026-02-27,2073.35,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4291,SPXW,2026-03-02,5000,1864.4,1886.3,0.9404,0.0,0.0,0.9999,0.0,0.0021,-0.0108,0.1369,1876.87,6878.8799,0.0,0.05,0.9993,1139.0,0.0,-0.0001,0.0,0.0021,-0.0108,0.0,0.05,2026-02-27,1875.35,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4292,SPXW,2026-03-02,5200,1662.3,1686.1,1.2902,0.0,0.0,0.9999,0.0,0.0031,-0.015,0.1423,0.0,6878.8799,0.0,0.05,0.8822,1320.0,1.0,-0.0001,0.0,0.0031,-0.015,0.0,0.05,2026-02-27,1674.1999999999998,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4293,SPXW,2026-03-02,5400,1462.7,1484.3,0.7377,1.0,21.0,0.9998,0.0,0.0048,-0.0214,0.1478,1467.98,6878.8799,0.0,0.05,0.7689,1743.0,1001.0,-0.0002,0.0,0.0048,-0.0214,0.0,0.05,2026-02-27,1473.5,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4294,SPXW,2026-03-02,5500,1362.3,1384.4,0.0,1.0,0.0,0.9998,0.0,0.006,-0.0258,0.1505,1344.55,6878.8799,0.0,0.05,0.7136,1540.0,14.0,-0.0003,0.0,0.006,-0.0258,0.0,0.03,2026-02-27,1373.35,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4295,SPXW,2026-03-02,5600,1262.3,1284.3,0.9582,0.0,0.0,0.9997,0.0,0.0075,-0.0313,0.1532,0.0,6878.8799,0.0,0.05,0.659,1352.0,1458.0,-0.0003,0.0,0.0075,-0.0313,-0.0001,0.05,2026-02-27,1273.3,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4296,SPXW,2026-03-02,5700,1162.3,1186.1,0.9028,0.0,0.0,0.9996,0.0,0.0096,-0.0382,0.156,0.0,6878.8799,0.0,0.05,0.6052,656.0,2872.0,-0.0004,0.0,0.0096,-0.0382,-0.0001,0.05,2026-02-27,1174.1999999999998,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4297,SPXW,2026-03-02,5800,1062.3,1086.0,0.8123,0.0,0.0,0.9995,0.0,0.0124,-0.0471,0.1587,0.0,6878.8799,0.0,0.05,0.5801,1345.0,2392.0,-0.0006,0.0,0.0124,-0.0471,-0.0001,0.05,2026-02-27,1074.15,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4298,SPXW,2026-03-02,5850,1015.7,1035.3,0.7722,0.0,0.0,0.9994,0.0,0.0142,-0.0525,0.16,0.0,6878.8799,0.05,0.1,0.5526,297.0,709.0,-0.0006,0.0,0.0142,-0.0525,-0.0001,0.05,2026-02-27,1025.5,0.07500000000000001,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4299,SPXW,2026-03-02,5875,990.8,1011.4,0.76,0.0,0.0,0.9993,0.0,0.0151,-0.0555,0.1607,0.0,6878.8799,0.05,0.1,0.5389,149.0,751.0,-0.0007,0.0,0.0151,-0.0555,-0.0001,0.05,2026-02-27,1001.0999999999999,0.07500000000000001,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4300,SPXW,2026-03-02,5900,964.8,986.4,0.7416,0.0,0.0,0.9993,0.0,0.0162,-0.0587,0.1614,0.0,6878.8799,0.05,0.1,0.5252,480.0,61.0,-0.0007,0.0,0.0162,-0.0587,-0.0001,0.07,2026-02-27,975.5999999999999,0.07500000000000001,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4301,SPXW,2026-03-02,5925,937.4,960.4,0.6946,0.0,0.0,0.9992,0.0,0.0174,-0.0622,0.1621,0.0,6878.8799,0.0,0.1,0.5116,269.0,413.0,-0.0008,0.0,0.0174,-0.0622,-0.0001,0.05,2026-02-27,948.9,0.0625,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4302,SPXW,2026-03-02,5950,912.8,936.4,0.7157,0.0,0.0,0.9992,0.0,0.0187,-0.0659,0.1627,0.0,6878.8799,0.05,0.1,0.5141,230.0,424.0,-0.0008,0.0,0.0187,-0.0659,-0.0001,0.1,2026-02-27,924.5999999999999,0.07500000000000001,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4303,SPXW,2026-03-02,5975,887.4,909.9,0.6521,0.0,0.0,0.9991,0.0,0.0201,-0.0698,0.1634,0.0,6878.8799,0.05,0.1,0.5002,193.0,744.0,-0.0009,0.0,0.0201,-0.0698,-0.0002,0.1,2026-02-27,898.65,0.07500000000000001,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4304,SPXW,2026-03-02,6000,862.9,884.5,0.6684,0.0,0.0,0.999,0.0,0.0216,-0.0741,0.1641,0.0,6878.8799,0.05,0.1,0.5075,1969.0,629.0,-0.001,0.0,0.0216,-0.0741,-0.0002,0.1,2026-02-27,873.7,0.07500000000000001,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4305,SPXW,2026-03-02,6025,837.4,859.4,0.6743,0.0,0.0,0.999,0.0,0.0233,-0.0787,0.1648,0.0,6878.8799,0.05,0.1,0.4838,99.0,92.0,-0.0011,0.0,0.0233,-0.0787,-0.0002,0.1,2026-02-27,848.4,0.07500000000000001,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4306,SPXW,2026-03-02,6050,816.0,836.4,0.5723,0.0,0.0,0.9988,0.0,0.0251,-0.0837,0.1654,0.0,6878.8799,0.1,0.15,0.4697,245.0,414.0,-0.0012,0.0,0.0251,-0.0837,-0.0002,0.1,2026-02-27,826.2,0.125,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4307,SPXW,2026-03-02,6075,797.5,803.0,0.502,0.0,0.0,0.9988,0.0,0.0271,-0.089,0.1661,0.0,6878.8799,0.05,0.15,0.4556,181.0,159.0,-0.0013,0.0,0.0271,-0.0891,-0.0002,0.12,2026-02-27,800.25,0.1,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4308,SPXW,2026-03-02,6100,772.8,778.0,0.4942,1.0,0.0,0.9986,0.0,0.0293,-0.0949,0.1668,808.61,6878.8799,0.1,0.15,0.4415,3353.0,1099.0,-0.0014,0.0,0.0293,-0.0949,-0.0002,0.1,2026-02-27,775.4,0.125,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4309,SPXW,2026-03-02,6125,747.8,753.0,0.4702,0.0,0.0,0.9985,0.0,0.0318,-0.1013,0.1674,0.0,6878.8799,0.05,0.15,0.4275,209.0,70.0,-0.0015,0.0,0.0318,-0.1013,-0.0003,0.1,2026-02-27,750.4,0.1,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4310,SPXW,2026-03-02,6150,722.6,728.0,0.4623,0.0,0.0,0.9984,0.0,0.0345,-0.1081,0.1681,0.0,6878.8799,0.05,0.15,0.4217,321.0,186.0,-0.0016,0.0,0.0345,-0.1081,-0.0003,0.2,2026-02-27,725.3,0.1,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4311,SPXW,2026-03-02,6175,697.7,703.0,0.4533,0.0,0.0,0.9982,0.0,0.0376,-0.1156,0.1687,0.0,6878.8799,0.05,0.15,0.4075,509.0,138.0,-0.0018,0.0,0.0376,-0.1156,-0.0003,0.12,2026-02-27,700.35,0.1,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4312,SPXW,2026-03-02,6200,672.7,677.9,0.4308,20.0,0.0,0.998,0.0,0.0409,-0.1238,0.1694,708.53,6878.8799,0.1,0.15,0.3999,957.0,1450.0,-0.002,0.0,0.0409,-0.1238,-0.0004,0.15,2026-02-27,675.3,0.125,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4313,SPXW,2026-03-02,6225,647.7,652.9,0.4151,0.0,0.0,0.9979,0.0,0.0446,-0.1327,0.17,0.0,6878.8799,0.1,0.2,0.3855,598.0,213.0,-0.0022,0.0,0.0446,-0.1327,-0.0004,0.2,2026-02-27,650.3,0.15000000000000002,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4314,SPXW,2026-03-02,6250,622.8,627.9,0.3995,0.0,0.0,0.9976,0.0,0.0488,-0.1426,0.1707,0.0,6878.8799,0.1,0.2,0.3712,3319.0,2659.0,-0.0024,0.0,0.0488,-0.1426,-0.0004,0.15,2026-02-27,625.3499999999999,0.15000000000000002,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4315,SPXW,2026-03-02,6275,597.8,602.9,0.39,0.0,0.0,0.9974,0.0,0.0535,-0.1534,0.1713,0.0,6878.8799,0.1,0.2,0.3568,205.0,1949.0,-0.0026,0.0,0.0535,-0.1534,-0.0005,0.15,2026-02-27,600.3499999999999,0.15000000000000002,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4316,SPXW,2026-03-02,6290,582.8,587.9,0.386,0.0,0.0,0.9972,0.0,0.0566,-0.1604,0.1717,0.0,6878.8799,0.1,0.2,0.3534,45.0,306.0,-0.0028,0.0,0.0566,-0.1604,-0.0005,0.17,2026-02-27,585.3499999999999,0.15000000000000002,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4317,SPXW,2026-03-02,6300,572.8,577.9,0.3796,2.0,0.0,0.9971,0.0,0.0588,-0.1654,0.1719,564.37,6878.8799,0.15,0.2,0.3522,2033.0,499.0,-0.0029,0.0,0.0588,-0.1654,-0.0005,0.15,2026-02-27,575.3499999999999,0.175,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4318,SPXW,2026-03-02,6310,562.9,567.9,0.3736,0.0,0.0,0.997,0.0,0.0611,-0.1704,0.1722,0.0,6878.8799,0.15,0.2,0.3418,5.0,30.0,-0.003,0.0,0.0612,-0.1705,-0.0006,0.27,2026-02-27,565.4,0.175,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4319,SPXW,2026-03-02,6320,552.9,557.9,0.3672,1.0,0.0,0.9968,0.0,0.0636,-0.1757,0.1724,632.06,6878.8799,0.15,0.2,0.3404,48.0,227.0,-0.0032,0.0,0.0637,-0.1759,-0.0006,0.3,2026-02-27,555.4,0.175,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4320,SPXW,2026-03-02,6325,548.1,552.9,0.364,0.0,0.0,0.9968,0.0,0.0649,-0.1785,0.1726,0.0,6878.8799,0.15,0.25,0.3375,486.0,123.0,-0.0032,0.0,0.0649,-0.1786,-0.0006,0.3,2026-02-27,550.5,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4321,SPXW,2026-03-02,6330,543.1,547.9,0.3608,0.0,0.0,0.9967,0.0,0.0662,-0.1813,0.1727,0.0,6878.8799,0.15,0.25,0.3346,42.0,46.0,-0.0033,0.0,0.0662,-0.1815,-0.0006,0.25,2026-02-27,545.5,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4322,SPXW,2026-03-02,6340,532.9,537.9,0.359,0.0,0.0,0.9966,0.0,0.0689,-0.1873,0.1729,0.0,6878.8799,0.15,0.25,0.3287,57.0,296.0,-0.0035,0.0,0.0689,-0.1873,-0.0006,0.2,2026-02-27,535.4,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4323,SPXW,2026-03-02,6350,522.9,527.9,0.3525,0.0,0.0,0.9964,0.0,0.0718,-0.1934,0.1732,0.0,6878.8799,0.15,0.25,0.3229,1206.0,1190.0,-0.0036,0.0,0.0718,-0.1934,-0.0007,0.2,2026-02-27,525.4,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4324,SPXW,2026-03-02,6360,512.9,517.9,0.3462,0.0,0.0,0.9962,0.0001,0.0748,-0.1998,0.1734,0.0,6878.8799,0.15,0.25,0.317,6.0,1750.0,-0.0038,0.0001,0.0748,-0.1998,-0.0007,0.2,2026-02-27,515.4,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4325,SPXW,2026-03-02,6370,502.9,507.9,0.344,0.0,0.0,0.9961,0.0001,0.0779,-0.2064,0.1737,0.0,6878.8799,0.15,0.25,0.3111,80.0,287.0,-0.004,0.0001,0.0779,-0.2064,-0.0007,0.2,2026-02-27,505.4,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4326,SPXW,2026-03-02,6375,498.0,502.9,0.3407,0.0,0.0,0.996,0.0001,0.0795,-0.2099,0.1738,0.0,6878.8799,0.15,0.3,0.3121,340.0,3239.0,-0.004,0.0001,0.0794,-0.2096,-0.0007,0.2,2026-02-27,500.45,0.22499999999999998,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4327,SPXW,2026-03-02,6380,493.0,497.9,0.3334,0.0,0.0,0.9959,0.0001,0.0812,-0.2134,0.1739,0.0,6878.8799,0.15,0.25,0.3053,49.0,242.0,-0.0041,0.0001,0.0812,-0.2134,-0.0008,0.35,2026-02-27,495.45,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4328,SPXW,2026-03-02,6390,483.0,487.9,0.327,0.0,0.0,0.9957,0.0001,0.0847,-0.2207,0.1741,0.0,6878.8799,0.15,0.25,0.3033,42.0,482.0,-0.0043,0.0001,0.0846,-0.2204,-0.0008,0.37,2026-02-27,485.45,0.2,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4329,SPXW,2026-03-02,6400,473.2,477.9,0.3246,1.0,0.0,0.9955,0.0001,0.0885,-0.2284,0.1744,581.45,6878.8799,0.2,0.25,0.3006,2956.0,5126.0,-0.0046,0.0001,0.0884,-0.228,-0.0008,0.2,2026-02-27,475.54999999999995,0.225,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4330,SPXW,2026-03-02,6410,463.0,467.9,0.3181,0.0,0.0,0.9952,0.0001,0.0925,-0.2365,0.1746,0.0,6878.8799,0.2,0.3,0.2947,19.0,312.0,-0.0048,0.0001,0.0924,-0.2361,-0.0009,0.25,2026-02-27,465.45,0.25,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4331,SPXW,2026-03-02,6420,453.0,457.9,0.3117,0.0,0.0,0.995,0.0001,0.0968,-0.2451,0.1748,0.0,6878.8799,0.2,0.3,0.2887,153.0,389.0,-0.005,0.0001,0.0967,-0.2446,-0.0009,0.32,2026-02-27,455.45,0.25,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4332,SPXW,2026-03-02,6425,448.0,452.9,0.3085,0.0,0.0,0.9949,0.0001,0.0991,-0.2496,0.175,0.0,6878.8799,0.2,0.3,0.2857,564.0,6499.0,-0.0051,0.0001,0.0989,-0.2491,-0.0009,0.25,2026-02-27,450.45,0.25,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4333,SPXW,2026-03-02,6430,443.0,447.9,0.3088,0.0,0.0,0.9947,0.0001,0.1014,-0.2542,0.1751,0.0,6878.8799,0.2,0.3,0.2856,90.0,337.0,-0.0053,0.0001,0.1013,-0.2538,-0.001,0.45,2026-02-27,445.45,0.25,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4334,SPXW,2026-03-02,6435,438.1,442.9,0.2982,0.0,0.0,0.9946,0.0001,0.1039,-0.2591,0.1752,0.0,6878.8799,0.2,0.3,0.2824,35.0,173.0,-0.0054,0.0001,0.1039,-0.2591,-0.001,0.3,2026-02-27,440.5,0.25,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4335,SPXW,2026-03-02,6440,433.1,437.9,0.2988,1.0,0.0,0.9944,0.0001,0.1064,-0.2641,0.1753,425.58,6878.8799,0.2,0.3,0.2794,481.0,92.0,-0.0056,0.0001,0.1064,-0.2641,-0.001,0.34,2026-02-27,435.5,0.25,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4336,SPXW,2026-03-02,6445,428.1,432.9,0.2918,0.0,20.0,0.9943,0.0001,0.109,-0.2693,0.1754,422.8,6878.8799,0.2,0.3,0.2764,84.0,238.0,-0.0057,0.0001,0.109,-0.2693,-0.001,0.25,2026-02-27,430.5,0.25,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4337,SPXW,2026-03-02,6450,423.1,427.9,0.2958,11.0,0.0,0.9941,0.0001,0.1117,-0.2747,0.1755,475.97,6878.8799,0.25,0.3,0.2734,2678.0,6380.0,-0.0059,0.0001,0.1117,-0.2747,-0.0011,0.25,2026-02-27,425.5,0.275,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4338,SPXW,2026-03-02,6455,418.1,422.9,0.2926,0.0,0.0,0.994,0.0001,0.1145,-0.2804,0.1756,0.0,6878.8799,0.2,0.35,0.2704,37.0,176.0,-0.006,0.0001,0.1145,-0.2804,-0.0011,0.3,2026-02-27,420.5,0.275,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4339,SPXW,2026-03-02,6460,413.3,417.9,0.2893,0.0,0.0,0.9938,0.0001,0.1174,-0.2862,0.1757,0.0,6878.8799,0.2,0.35,0.2699,227.0,226.0,-0.0062,0.0001,0.1174,-0.2862,-0.0011,0.3,2026-02-27,415.6,0.275,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4340,SPXW,2026-03-02,6465,408.3,412.9,0.286,0.0,0.0,0.9936,0.0001,0.1204,-0.2923,0.1758,0.0,6878.8799,0.25,0.35,0.2669,32.0,162.0,-0.0064,0.0001,0.1204,-0.2923,-0.0012,0.25,2026-02-27,410.6,0.3,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4341,SPXW,2026-03-02,6470,403.1,407.9,0.2828,0.0,0.0,0.9934,0.0001,0.1235,-0.2986,0.1759,0.0,6878.8799,0.25,0.35,0.2638,449.0,271.0,-0.0066,0.0001,0.1235,-0.2986,-0.0012,0.25,2026-02-27,405.5,0.3,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4342,SPXW,2026-03-02,6475,398.1,402.9,0.2795,0.0,4.0,0.9932,0.0001,0.1267,-0.3052,0.176,384.17,6878.8799,0.25,0.35,0.2608,627.0,6250.0,-0.0068,0.0001,0.1267,-0.3052,-0.0012,0.3,2026-02-27,400.5,0.3,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4343,SPXW,2026-03-02,6480,393.1,397.9,0.2794,0.0,0.0,0.993,0.0001,0.1301,-0.312,0.1761,372.66,6878.8799,0.25,0.35,0.2601,495.0,314.0,-0.007,0.0001,0.1301,-0.312,-0.0013,0.25,2026-02-27,395.5,0.3,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4344,SPXW,2026-03-02,6485,388.1,392.9,0.273,0.0,0.0,0.9928,0.0001,0.1337,-0.3191,0.1762,0.0,6878.8799,0.25,0.35,0.257,36.0,172.0,-0.0072,0.0001,0.1337,-0.3191,-0.0013,0.3,2026-02-27,390.5,0.3,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4345,SPXW,2026-03-02,6490,383.2,387.9,0.2728,0.0,2.0,0.9926,0.0001,0.1373,-0.3264,0.1763,380.87,6878.8799,0.25,0.35,0.254,312.0,369.0,-0.0074,0.0001,0.1373,-0.3264,-0.0014,0.35,2026-02-27,385.54999999999995,0.3,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4346,SPXW,2026-03-02,6495,378.2,382.9,0.2665,0.0,0.0,0.9924,0.0001,0.1412,-0.334,0.1764,0.0,6878.8799,0.25,0.35,0.2509,97.0,251.0,-0.0076,0.0001,0.1412,-0.334,-0.0014,0.3,2026-02-27,380.54999999999995,0.3,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4347,SPXW,2026-03-02,6500,373.2,377.9,0.2662,10.0,18.0,0.9921,0.0001,0.1452,-0.3419,0.1765,374.06,6878.8799,0.3,0.35,0.2499,2662.0,7919.0,-0.0079,0.0001,0.1452,-0.3419,-0.0014,0.35,2026-02-27,375.54999999999995,0.32499999999999996,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4348,SPXW,2026-03-02,6505,368.2,372.9,0.2629,0.0,0.0,0.9919,0.0001,0.1493,-0.35,0.1766,0.0,6878.8799,0.25,0.4,0.2468,38.0,320.0,-0.0081,0.0001,0.1493,-0.35,-0.0015,0.3,2026-02-27,370.54999999999995,0.325,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4349,SPXW,2026-03-02,6510,363.2,367.9,0.2596,1.0,4.0,0.9916,0.0001,0.1537,-0.3584,0.1767,349.37,6878.8799,0.3,0.4,0.2457,167.0,1474.0,-0.0084,0.0001,0.1537,-0.3584,-0.0015,0.35,2026-02-27,365.54999999999995,0.35,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4350,SPXW,2026-03-02,6515,358.4,363.0,0.2564,1.0,0.0,0.9913,0.0001,0.1581,-0.3671,0.1768,415.95,6878.8799,0.3,0.35,0.2426,112.0,264.0,-0.0087,0.0001,0.1581,-0.3671,-0.0016,0.35,2026-02-27,360.7,0.32499999999999996,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4351,SPXW,2026-03-02,6520,353.2,357.9,0.2558,2.0,0.0,0.991,0.0002,0.1628,-0.376,0.1768,416.42,6878.8799,0.3,0.4,0.2395,156.0,810.0,-0.009,0.0002,0.1628,-0.376,-0.0016,0.35,2026-02-27,355.54999999999995,0.35,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4352,SPXW,2026-03-02,6525,348.2,353.0,0.2498,0.0,2.0,0.9908,0.0002,0.1676,-0.3853,0.1769,346.17,6878.8799,0.3,0.4,0.2364,467.0,10526.0,-0.0093,0.0002,0.1676,-0.3853,-0.0017,0.3,2026-02-27,350.6,0.35,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4353,SPXW,2026-03-02,6530,343.2,348.0,0.2491,0.0,0.0,0.9904,0.0002,0.1725,-0.3948,0.177,0.0,6878.8799,0.3,0.4,0.2351,1791.0,358.0,-0.0096,0.0002,0.1725,-0.3948,-0.0018,0.35,2026-02-27,345.6,0.35,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
